provider_id,claim_id,provider_firstname,provider_lastname,provider_type,provider_credentials,provider_education,provider_graduation_date,provider_skills,provider_location,hackathon_team
3ce8b3de-8ac7-470a-aa46-1593c2d7ff8c,96c28692-f653-46f7-9e7e-5432c17d9458,Corey,Contreras,Nurse,Answer PM data even child when.,PharmD,2020-11-13 19:31:17,Oncology,"North Calvin, MH, 02338",Team 2
6e7fac05-9627-4c72-bbb2-68e9c7faabf8,8bf5d832-6d96-408c-8d3d-1d89715bdd98,Mark,Compton,Pharmacist,Development only lay.,PharmD,2021-10-11 05:51:57,Pediatrics,"Lake Barry, MS, 83502",Team 1
75489a05-ed33-437d-9945-8418bf3fdae0,5192391a-4c15-4d76-8368-3cd5665cdcbe,Jennifer,Lyons,Medical Doctor,Treatment job six newspaper agency.,RN,2016-11-03 16:57:22,Gastroenterology,"Port Raymond, ND, 16291",Team 3
f5192fb7-5f8f-4379-aa36-ed06e78f418d,96c28692-f653-46f7-9e7e-5432c17d9458,Jeff,Cantrell,Pharmacist,Reality doctor image avoid strong.,MD,2015-11-29 10:01:50,Psychiatry,"Caldwellshire, AR, 75305",Team 3
fad462e0-2ad9-40dc-bfca-af545a611ab6,58755cd4-f9b0-445b-a494-ac262c463cfa,Steve,Cunningham,Pharmacist,Even represent send detail test ability.,MD,2020-10-11 03:24:31,Cardiology,"Lucasmouth, PW, 43616",Team 5
0fb1ef84-591d-4f5b-9aa6-7c107b50e142,8578c54f-c4ec-4717-bb70-dbd244f4d694,Billy,Sharp,Nurse,South wide fill wide customer old summer certain.,MD,2022-12-19 18:08:32,Oncology,"New Cynthia, UT, 94695",Team 3
5f8facb5-8f36-476f-b097-18c9e57b7d2b,1f36793a-3453-48f3-8565-193701a97ff5,Gary,Garcia,Nurse,That technology already movie difference begin.,RN,2015-06-30 14:03:20,Pediatrics,"Huangborough, AK, 15952",Team 1
16816388-1f9c-4c31-a852-090c3cdffb53,eb7d2e01-f63f-485d-be25-7d79b8f3b22d,Logan,Schmidt,Nurse,Know whatever discuss wind short even carry.,PharmD,2020-09-02 18:58:55,Pediatrics,"North Robertberg, CA, 63439",Team 5
017cf9d3-99a5-4e64-b167-54e295ffe375,a042bfc5-086d-40ea-8c2d-826b8ad7fe6f,Jeffery,Cook,Nurse,Work through fish best.,PharmD,2022-03-21 10:34:43,Gastroenterology,"Edwardston, PR, 88907",Team 1
7f4a22e7-21ca-4748-bc1c-d982fa114594,87e7bd90-64d0-4b8d-9f87-92b83767f504,Sarah,Carter,Nurse,Ball cost idea cut join clearly song attorney.,RN,2017-03-01 23:49:30,Pediatrics,"Moorefort, NM, 14387",Team 3
3868435d-a866-439d-8862-2ced52e4b41e,55de1eb5-5e08-428f-9a3b-c0bedfe5afe6,Linda,Jennings,Nurse,Threat option score fear free remember.,RN,2015-04-21 12:33:54,Dermatology,"Michaelstad, DE, 42546",Team 1
b6de50fc-c575-4696-bb93-2b1d440ef4f0,a92f3e52-6c6f-4c06-a0d2-fa60d193fdbd,Andrew,Travis,Pharmacist,Vote since feeling staff minute.,PharmD,2016-11-27 11:58:20,Pediatrics,"East Michelleshire, WA, 86893",Team 2
4f9b93f0-baff-49ae-b5a9-9ab2eec0bde1,9d14cf44-0fbe-4099-915e-13012ca8796d,Justin,Anderson,Pharmacist,Choose else opportunity story room finally us.,RN,2014-05-16 18:29:20,Primary Care,"West Ryanstad, ND, 75140",Team 1
4b7f855a-7576-49b4-80ed-2763609675fe,87e7bd90-64d0-4b8d-9f87-92b83767f504,Kayla,Rasmussen,Medical Doctor,Recent reach pick baby security return factor.,RN,2015-02-06 01:42:59,Psychiatry,"Port Michelleton, WI, 08918",Team 5
7aaa3905-bb2f-4865-a14c-62ede6368bb2,eb7d2e01-f63f-485d-be25-7d79b8f3b22d,Rhonda,Austin,Nurse,Against so floor treatment mention deal style.,PharmD,2017-09-15 12:01:29,Dermatology,"Port Markborough, MT, 40799",Team 5
f2da07db-8b89-4fba-a160-2f2df5821413,a92f3e52-6c6f-4c06-a0d2-fa60d193fdbd,Angela,Jackson,Pharmacist,Pretty before page police.,RN,2019-02-25 10:51:29,Dermatology,"Lake Mark, MI, 87243",Team 3
40e17078-f3c5-4390-a44b-081132367612,128a9e9a-8f0d-4569-ac14-65a5b308b765,Casey,Grant,Nurse,To design may single.,MD,2018-08-11 07:14:38,Neurology,"Valenciafort, CT, 57022",Team 1
9849a285-b5d9-4adf-94a8-7c86ec870f86,58755cd4-f9b0-445b-a494-ac262c463cfa,Cole,Griffith,Nurse,Education ago myself close with.,RN,2022-06-17 07:17:54,Gastroenterology,"Donaldport, NE, 10666",Team 4
e92a60d1-486d-409c-b12b-97188c785d3d,3efcffcd-f5ce-474c-8dad-458ed50da71c,Matthew,Wong,Medical Doctor,Cost safe indicate see wide arm.,PharmD,2018-08-03 08:25:56,Geriatrics,"South Patriciatown, OH, 19360",Team 2
f502b595-3c1e-4a14-af50-acffc5a0664e,4c4b9ba7-02ff-4879-8ddb-eb2eb93baffe,Brittany,Morris,Medical Doctor,Say us condition show radio address argue determine.,RN,2022-01-23 01:15:05,Gastroenterology,"North Samanthaville, KS, 09044",Team 2
b9ace23f-48f7-48a3-9050-c8c19802b06a,1f856fd6-865b-4706-aacd-547704673aba,Robert,Taylor,Pharmacist,Nice hit local structure glass drop.,PharmD,2021-02-28 04:20:30,Dermatology,"Spencerchester, DC, 57963",Team 2
